pronunciation,kana,kanji,meaning
okaasama,おかあさま,お母様,"mother"
osumituki,おすみつき,お墨付き,"certificate, certified document, authorization, authorisation"
omoti,おもち,お餅,"rice cakes, pounded mochi rice"
ohiya,おひや,お冷や,"cold (drinking) water, cold boiled rice"
omorasi,おもらし,お漏らし,"wetting oneself, peeing in one's pants"
kasikomarimasita,かしこまりました,畏まりました,"certainly!"
katakutiiwasi,かたくちいわし,片口鰯,"Japanese anchovy (Engraulis japonica)"
kanawanai,かなわない,敵わない,"no match for"
kamosirenai,かもしれない,かも知れない,"may, might, perhaps, may be, possibly"
karakai,からかい,揶揄い,"banter, teasing, persiflage"
karakuri,からくり,絡繰り,"mechanism, machinery, contrivance, device"
kayowai,かよわい,か弱い,"weak, feeble, delicate, frail, helpless"
kusukusuwarau,くすくすわらう,くすくす笑う,"to giggle"
kutinasi,くちなし,梔子,"Cape jasmine (Gardenia jasminoides), Cape jessamine, gardenia"
kumanaku,くまなく,隈なく,"all over, everywhere, in every nook and cranny"
kuwairesiki,くわいれしき,くわ入れ式,"ground-breaking ceremony"
ketunoana,けつのあな,けつの穴,"anus, asshole, arsehole"
kerakerawarau,ケラケラわらう,ケラケラ笑う,"to cackle"
kou,こう,斯う,"in this way, thus, such"
kouiu,こういう,こう言う,"such, this sort of, like this"
kotira,こちら,此方,"this way (direction close to the speaker or towards the speaker), this direction"
konata,こなた,此方,"this way, here"
kotonisuruto,ことにすると,事にすると,"perhaps, maybe, possibly"
kotoninaru,ことになる,事になる,"to have been decided (so) that, to have been arranged (so) that"
konohoka,このほか,この外,"besides, moreover, in addition"
korekara,これから,此れから,"after this"
korera,これら,これ等,"these"
saseru,させる,為せる,"to make (someone) do"
saseko,させこ,させ子,"easy girl, floozy"
sateoku,さておく,さて置く,"to set aside"
siosio,しおしお,悄悄,"in low spirits, dejected, sad"
sikirini,しきりに,頻りに,"frequently, repeatedly, often, incessantly, constantly"
sikusikunaku,しくしくなく,しくしく泣く,"to cry softly, to sob, to weep"
situkoi,しつこい,執拗い,"insistent, obstinate, persistent, tenacious"
siyasui,しやすい,し易い,"easy to make, easy to do"
mataasita,またあした,また明日,"see you tomorrow"
sukimono,すきもの,好き者,"dilettante, lecher, nymphomaniac"
susurinaku,すすりなく,すすり泣く,"to sob"
suresure,すれすれ,擦れ擦れ,"grazing, skimming, almost touching, passing within inches, being within a whisker, shaving close"
soitu,そいつ,其奴,"he, she, that person, that guy, that fellow"
sousou,そうそう,然う然う,"so much, so often, so long, particularly, especially"
soko,そこ,其処,"there (place relatively near listener)"
sokoira,そこいら,其処いら,"that area"
sokora,そこら,其処ら,"everywhere, somewhere, approximately, that area, around there"
sosite,そして,然して,"and, and then, thus, and now, and finally"
sosoru,そそる,唆る,"to excite, to incite, to stimulate, to arouse, to tempt, to stir up"
sotira,そちら,其方,"that way (direction distant from the speaker, close to the listener)"
sono,その,其の,"that, the"
sonotame,そのため,その為,"hence, for that reason"
sonoato,そのあと,その後,"after that, afterwards, thereafter"
sonoue,そのうえ,その上,"in addition, furthermore"
sonohoka,そのほか,その他,"the rest, the others"
sonouti,そのうち,その内,"before very long, soon, someday, one of these days, sooner or later"
somosomo,そもそも,抑,"in the first place, to begin with, from the start, originally, ab initio"
sore,それ,其れ,"that (indicating an item or person near the listener, the action of the listener, or something on their mind), it"
sorekara,それから,其れから,"and then, after that"
soretomo,それとも,其れ共,"or, or else"
sorenari,それなり,其れなり,"in itself, as it is, in its own way, as suits the occasion"
soreni,それに,其れに,"besides, in addition, also, moreover"
sorenikuwaete,それにくわえて,それに加えて,"in addition to this"
sorera,それら,それ等,"those (near the second person)"
soreirai,それいらい,それ以来,"since then, from that time, ever since"
soreyueni,それゆえに,それ故に,"and so, therefore, for that reason"
takari,たかり,集り,"extortion, blackmail, shakedown"
tukamitoru,つかみとる,掴み取る,"to grasp, to get"
tumaranai,つまらない,詰らない,"dull, uninteresting, boring, tedious"
toiunoha,というのは,と言うのは,"because ..., for ..., the reason being ..."
toiumono,というもの,と言うもの,"something like ..., something called ..."
totetumonai,とてつもない,途轍もない,"extravagant, absurd, unbelievable, preposterous, unreasonable"
totemo,とても,迚も,"very, awfully, exceedingly"
tomoiu,ともいう,とも言う,"also called"
toyakakuiu,とやかくいう,とやかく言う,"to say all kinds of things, to complain, to find fault (with)"
tororoimo,とろろいも,とろろ芋,"yam"
tokateisite,とかていして,と仮定して,"assuming that ..., supposing that ..."
tokateisitemo,とかていしても,と仮定しても,"even assuming that ..., even granted that ..."
totomoni,とともに,と共に,"together with, as X, then Y (e.g. as we age we gain wisdom, as wine matures it becomes more valuable, etc.)"
ieru,いえる,言える,"to be possible to say, to be able to say"
toiwareru,といわれる,と言われる,"to be called ..., to be referred to as ..."
nakenasi,なけなし,無けなし,"very small amount which looks like nothing"
nioite,において,に於いて,"in, on, at (place), as for, regarding"
niokeru,における,に於ける,"in, at, on, as for, regarding, with regards to"
nikoyaka,にこやか,和やか,"smiling, beaming, radiant, bright, cheerful"
nisiteoku,にしておく,にして置く,"to leave as, to view as, to maintain the status quo"
niyoru,による,に依る,"by means of, due to, because of, according to"
niyoruto,によると,に依ると,"according to (someone)"
nikuwae,にくわえ,に加え,"in addition"
nikuwaete,にくわえて,に加えて,"in addition"
ninite,ににて,に似て,"similar to, like"
nituite,について,に就いて,"concerning, regarding"
niterasite,にてらして,に照らして,"in comparison with, when compared with, according to, in light of, in view of"
nitaisite,にたいして,に対して,"towards, against, regarding, in contrast with"
nitaisuru,にたいする,に対する,"regarding, in, to, towards, with regards to"
nituki,につき,に付き,"because of, on account of"
nomerikomu,のめりこむ,のめり込む,"to be completely absorbed in, to fall for (something)"
noyouni,のように,の様に,"like, similar to"
hatamata,はたまた,将又,"or"
hatameiwaku,はためいわく,はた迷惑,"nuisance to other people, inconvenience to others"
hanikamiya,はにかみや,はにかみ屋,"bashful person, very shy person"
hanikamu,はにかむ,含羞む,"to be shy, to be bashful, to look shy"
hametaosu,はめたおす,はめ倒す,"to make love"
hiiteha,ひいては,延いては,"not only ... but also, in addition to, consequently"
hisihisi,ひしひし,犇犇,"acutely (feel), keenly, severely"
hisimeki,ひしめき,犇めき,"clamour, crowd, jostle"
hitasura,ひたすら,只管,"intently, single-mindedly, devotedly, solely, earnestly, with all one's heart"
hitamuki,ひたむき,直向き,"earnest, single-minded"
hiyowai,ひよわい,ひ弱い,"weak, sickly"
hukasu,ふかす,吹かす,"to smoke (a cigarette)"
hukusa,ふくさ,袱紗,"small silk wrapper, small cloth for wiping tea utensils, crepe wrapper"
hukuyoka,ふくよか,膨よか,"plump, fleshy, well-rounded, full"
utitukeru,うちつける,打ち付ける,"to nail"
heta,へた,蔕,"calyx"
mamanaranu,ままならぬ,儘ならぬ,"beyond one's control, not always turning out as one wishes, not going the way one wants it to, unable to do (as one wishes)"
mamanaranai,ままならない,儘ならない,"beyond one's control, not always turning out as one wishes, not going the way one wants it to, unable to do (as one wishes)"
misumisu,みすみす,見す見す,"before one's own eyes, from under one's very nose, without doing anything, without resistance, helplessly, negligently, knowingly"
mitukai,みつかい,み使い,"angel"
mukininaru,むきになる,向きになる,"to become serious, to take something seriously (joke, teasing), to become irritated or angry (usu. at something trivial), to get worked up"
mukureru,むくれる,剥れる,"to become angry or sullen, to take offense, to be miffed"
mosi,もし,若し,"if, in case, supposing"
mosikasitara,もしかしたら,若しかしたら,"perhaps, maybe, perchance, by some chance, by any chance"
mosikasite,もしかして,若しかして,"perhaps, possibly, maybe, by any chance, if I'm not mistaken"
mosikasuruto,もしかすると,若しかすると,"perhaps, possibly, maybe, by some chance"
motenasi,もてなし,持て成し,"hospitality, reception, treatment, service, entertainment"
mononisuru,ものにする,物にする,"to get, to secure, to take possession of, to make one's own, to win (someone's heart)"
moroni,もろに,諸に,"completely, all the way, altogether, bodily"
yariyou,やりよう,遣り様,"way of doing something"
yarikuri,やりくり,やり繰り,"making do, getting by (somehow), managing"
yaritori,やりとり,やり取り,"giving and taking, exchange (of letters), arguing back and forth, (conversational) exchange"
yarikiru,やりきる,やり切る,"to complete decisively, to do to completion"
yarikata,やりかた,やり方,"manner of doing, way, method, means"
yaru,やる,遣る,"to do, to undertake, to perform, to play (a game), to study"
yukari,ゆかり,縁,"connection (to a person, place, etc.), relation, affinity"
yurayura,ゆらゆら,揺ら揺ら,"swaying, swinging, rocking, shaking, wavering, flickering"
yuruyuru,ゆるゆる,緩緩,"very loose, slowly, leisurely"
youni,ように,様に,"in order to (e.g. meet goal), so that, take care (so as)"
younisuru,ようにする,様にする,"(following a verb) to be sure to, to do (something) so that ..., to make sure to, to try to"
youninaru,ようになる,様になる,"to reach the point that, to come to be that, to turn into"
yokosu,よこす,寄越す,"to send, to forward"
yoromeku,よろめく,蹌踉めく,"to stagger"
roku,ろく,碌,"satisfactory, decent, good, proper, worthy"
auto,アウト,ＯＵＴ,"out (of a ball, in tennis, etc.), outside the line"
autoraitotorihiki,アウトライトとりひき,アウトライト取引,"outright transaction"
ahurikanotuno,アフリカのつの,アフリカの角,"Horn of Africa"
arukari,アルカリ,亜爾加里,"alkali"
arukarisei,アルカリせい,アルカリ性,"alkalinity, alkaline"
isuraeru,イスラエル,以色列,"Israel"
itaria,イタリア,伊太利,"Italy"
ukuraina,ウクライナ,烏克蘭,"Ukraine"
ekisu,エキス,越幾斯,"extract (of plants, meat, etc.), essence"
esu,エス,Ｓ,"S, s"
esuehu,エスエフ,ＳＦ,"science fiction, sci-fi, SF"
esuemu,エスエム,ＳＭ,"SM, S&M, sado-masochism"
etosetora,エトセトラ,ｅｔｃ．,"et cetera, and so forth"
ehuemu,エフエム,ＦＭ,"FM, frequency modulation"
ohu,オフ,ＯＦＦ,"switching off (e.g. electricity), turning off (e.g. water)"
kakao,カカオ,加加阿,"cacao, cocoa"
kasutamuka,カスタムか,カスタム化,"customization, customisation"
kataru,カタル,加答児,"catarrh"
kanaria,カナリア,金糸雀,"canary (esp. the island canary, Serinus canaria)"
karaoke,カラオケ,空オケ,"karaoke"
karumeyaki,カルメやき,カルメ焼き,"honeycomb toffee, sponge toffee, foam candy from heated brown sugar mixed with baking soda"
kimuti,キムチ,沈菜,"kimchi, kimchee, spicy Korean pickled cabbage"
kirisuto,キリスト,基督,"Christ"
kurahutosi,クラフトし,クラフト紙,"kraft paper, craft paper"
kurusu,クルス,久留子,"cross sign"
kosutokouritu,コストこうりつ,コスト効率,"cost effectiveness"
komawari,コマわり,コマ割り,"panel layout"
satu,さつ,察,"cops, police"
sahara,サハラ,撒哈拉,"Sahara"
siatoru,シアトル,舎路,"Seattle"
siria,シリア,叙利亜,"Syria"
suisu,スイス,瑞西,"Switzerland"
surimuka,スリムか,スリム化,"slimming down, scaling back, thinning, streamlining, retrenchment"
taikiroku,タイきろく,タイ記録,"equal to the current record (in sports, etc.)"
taikoku,タイこく,タイ国,"Thailand"
tikutikuitamu,チクチクいたむ,チクチク痛む,"to prickle, to tingle"
tihusu,チフス,窒扶斯,"typhoid fever, typhus"
tiri,チリ,智利,"Chile"
tekisutokaisi,テキストかいし,テキスト開始,"start of text, STX"
terososiki,テロそしき,テロ組織,"terrorist organization, terrorist organisation"
terotaisaku,テロたいさく,テロ対策,"anti-terrorist"
toruko,トルコ,土耳古,"Turkey"
nairu,ナイル,尼羅,"Nile (river)"
nasa,ナサ,ＮＡＳＡ,"National Aeronautics and Space Administration, NASA"
nahuta,ナフタ,ＮＡＦＴＡ,"North American Free Trade Agreement, NAFTA"
noa,ノア,ＮＯＲ,"NOR (boolean operator)"
hatikou,ハチこう,ハチ公,"Hachikō, Akita dog that waited every day at Shibuya station for the return of his owner (1923-1935)"
hanoi,ハノイ,河内,"Hanoi (Vietnam)"
hawai,ハワイ,布哇,"Hawaii, Hawai'i"
maikuroha,マイクロは,マイクロ波,"microwave"
mairu,マイル,哩,"mile"
manira,マニラ,馬尼剌,"Manila (Philippines)"
maruku,マルク,馬克,"mark (currency)"
marukohukatei,マルコフかてい,マルコフ過程,"Markov process"
miira,ミイラ,木乃伊,"mummy"
misa,ミサ,弥撒,"(Catholic) Mass"
miriha,ミリは,ミリ波,"milli-wave"
mekisiko,メキシコ,墨西哥,"Mexico"
mesuwoireru,メスをいれる,メスを入れる,"to put the scalpel to, to perform an operation on"
mosukuwa,モスクワ,莫斯科,"Moscow (Russia)"
yunisehu,ユニセフ,ＵＮＩＣＥＦ,"United Nations Children's Fund (formerly Children's Emergency Fund), UNICEF"
raosu,ラオス,羅宇,"Laos"
risutorasaku,リストラさく,リストラ策,"restructuring scheme"
ro,ろ,露,"Russia"
romu,ロム,ＲＯＭ,"read-only memory, ROM"
aou,あおう,亜欧,"Asia and Europe, Eurasia"
aka,あか,亜科,"subfamily"
akou,あこう,亜綱,"subclass"
asei,あせい,亜聖,"sage of the second order"
amerika,アメリカ,亜米利加,"America"
ama,あま,亜麻,"flax (Linum usitatissimum), linseed"
amaito,あまいと,亜麻糸,"flax yarn"
amaorimono,あまおりもの,亜麻織物,"flax fabrics, linen"
amani,あまに,亜麻仁,"flaxseed, linseed"
amaniyu,あまにゆ,亜麻仁油,"linseed oil, flaxseed oil"
amasei,あませい,亜麻製,"flaxen, linen"
amanuno,あまぬの,亜麻布,"linen"
arei,あれい,亜鈴,"dumbbell"
osi,おし,唖,"muteness, speech impairment"
omoneru,おもねる,阿る,"to flatter, to play up to, to fawn on, to pander to, to cater to"
otahuku,おたふく,お多福,"homely woman (esp. one with a small low nose, high flat forehead, and bulging cheeks), plain woman"
ayu,あゆ,阿諛,"flattery"
aware,あわれ,哀れ,"pity, sorrow, grief, misery, compassion, pathos"
awaremi,あわれみ,哀れみ,"pity, compassion"
awaremu,あわれむ,哀れむ,"to pity, to feel sympathy for, to sympathize with, to sympathise with, to commiserate with, to have mercy on"
aika,あいか,哀歌,"lament (song), elegy, dirge, sad song"
airaku,あいらく,哀楽,"grief and pleasure"
aisi,あいし,哀史,"sad story, tragic history"
aisi,あいし,哀詞,"message of condolence"
aisi,あいし,哀詩,"elegy"
aiseki,あいせき,哀惜,"grief, sorrow"
aisetu,あいせつ,哀切,"pathetic, plaintive"
aiso,あいそ,哀訴,"appeal, complaint"
aituu,あいつう,哀痛,"grieving, mourning, being very sad"
aitou,あいとう,哀悼,"condolence, regret, tribute, sorrow, sympathy, lament"
aiwa,あいわ,哀話,"sad story"
aikoku,あいこく,哀哭,"grief, mourning, lamentation"
ai,あい,愛,"love, affection, care"
itosii,いとしい,愛しい,"lovely, dear, beloved, darling, dearest"
aisuru,あいする,愛する,"to love"
ainiueru,あいにうえる,愛に飢える,"to hunger for love, to starve for love"
airasii,あいらしい,愛らしい,"pretty, charming, lovely, adorable"
aiiku,あいいく,愛育,"tender nurture"
aieki,あいえき,愛液,"genital secretions, sexual fluids"
aiko,あいこ,愛顧,"patronage, favour, favor"
aikou,あいこう,愛好,"love, adoration"
aikouka,あいこうか,愛好家,"amateur, fancier, lover, worshipper, enthusiast, fan"
aikoku,あいこく,愛国,"love of (one's) country, patriotism"
aisai,あいさい,愛妻,"beloved wife"
aiseki,あいせき,愛惜,"missing someone, loathing to part"
aisonoyoi,あいそのよい,愛想の良い,"affable, amiable, sociable, agreeable"
aisoku,あいそく,愛息,"(your) beloved son, cute boy"
manamusume,まなむすめ,愛娘,"one's beloved daughter"
aiyou,あいよう,愛用,"favorite, favourite, habitually used"
aisatu,あいさつ,挨拶,"greeting, greetings, salutation, salute, polite set phrase used when meeting or parting from somebody"
aisatumawari,あいさつまわり,挨拶回り,"courtesy call, going around to say hello (or goodbye) to everybody, making the rounds"
ouse,おうせ,逢瀬,"rendezvous, tryst, (lover's) meeting, (secret) date"
aoi,あおい,葵,"mallow (any plant of family Malvaceae)"
aoimaturi,あおいまつり,葵祭,"Aoi Festival (Kyoto, May 15), Aoi Matsuri"
akane,あかね,茜,"madder (esp. Japanese madder, Rubia argyi)"
akanesasu,あかねさす,茜さす,"glowing red"
akaneiro,あかねいろ,茜色,"madder red"
aku,あく,悪,"evil, wickedness"
waru,わる,悪,"wicked person, evil person, scoundrel, bad guy, bad child, naughty child"
warui,わるい,悪い,"bad, poor, undesirable"
warukuiu,わるくいう,悪く言う,"to speak badly (of), to speak ill (of), to bad-mouth"
warusa,わるさ,悪さ,"badness, mean mischief"
asi,あし,悪し,"bad, evil"
akutare,あくたれ,悪たれ,"rowdiness, rowdy (person or event)"
akutareru,あくたれる,悪たれる,"to do mischief, to use abusive language"
akunikatamuku,あくにかたむく,悪に傾く,"to be inclined to evil"
akunotimata,あくのちまた,悪の巷,"skid row, underworld"
akui,あくい,悪意,"ill will, spite, evil intention, malice"
akui,あくい,悪衣,"shabby clothes"
akueki,あくえき,悪疫,"epidemic"
akusai,あくさい,悪妻,"bad wife"
akusaku,あくさく,悪策,"poor policy, poor plan"
akusitu,あくしつ,悪疾,"malignant disease, virulent disease"
akusitu,あくしつ,悪質,"malicious, vicious, malignant, underhanded"
akusituka,あくしつか,悪質化,"worsening"
warumono,わるもの,悪者,"bad guy, villain, evildoer, scoundrel"
warunori,わるのり,悪乗り,"getting carried away, going too far, overdoing"
akusui,あくすい,悪水,"undrinkable water"
waruyoi,わるよい,悪酔い,"drunken sickness, getting sick from drinking"
akusei,あくせい,悪性,"malignant (cancer), virulent, pernicious (anemia, anaemia)"
akusei,あくせい,悪政,"misgovernment, misrule, bad government"
akusei,あくせい,悪声,"bad voice, evil speaking"
akusou,あくそう,悪僧,"dissolute priest, depraved monk"
akusou,あくそう,悪相,"evil countenance"
akutarou,あくたろう,悪太郎,"stupid brat, mischievous kid, troublemaker"
akutai,あくたい,悪態,"abusive language"
akutaiwotuku,あくたいをつく,悪態をつく,"to use abusive language, to curse, to call someone names"
akuto,あくと,悪徒,"rascal, scoundrel, villain"
akutou,あくとう,悪党,"scoundrel, rascal, villain"
akutou,あくとう,悪投,"wild pitch"
akutoku,あくとく,悪徳,"vice, immorality, corruption"
onetu,おねつ,悪熱,"fever following a chill"
akuhitu,あくひつ,悪筆,"poor handwriting"
akuhu,あくふ,悪婦,"wicked woman"
akuhuu,あくふう,悪風,"vice, bad manners, evil customs"
akuhei,あくへい,悪弊,"vice, abuse, evil"
akuhou,あくほう,悪法,"bad law"
akuma,あくま,悪魔,"devil, demon, fiend"
akumu,あくむ,悪夢,"nightmare, bad dream"
akuyaku,あくやく,悪役,"villain, baddie, the villain's part"
akuyuu,あくゆう,悪友,"undesirable friend, bad company, bad companion, bad influence"
akuyou,あくよう,悪用,"abuse, misuse, perversion"
akurei,あくれい,悪令,"bad decree"
akurei,あくれい,悪例,"bad example, bad precedent"
akuro,あくろ,悪路,"bad road"
oro,おろ,悪露,"lochia, post-natal vaginal discharge"
akuratu,あくらつ,悪辣,"crafty, vicious, unscrupulous, sharp"
akuhu,あくふ,握斧,"hand-axe"
akuti,あくち,渥地,"marshland"
asi,あし,葦,"common reed (Phragmites australis)"
hesiau,へしあう,圧し合う,"to jostle, to push"
hesikomu,へしこむ,圧し込む,"to push into"
osikorosu,おしころす,圧し殺す,"to crush to death, to stifle to death, to squeeze to death"
osiisi,おしいし,圧し石,"stone weight"
hesioru,へしおる,へし折る,"to smash, to break"
hesu,へす,圧す,"to dent, to press, to push"
atukai,あつかい,扱い,"treatment, service"
atukau,あつかう,扱う,"to deal with (a person), to treat, to handle, to take care of, to entertain"
kokiorosu,こきおろす,こき下ろす,"to denounce, to disparage, to lambast, to abuse"
ateru,あてる,宛てる,"to address"
ame,あめ,飴,"(hard) candy, toffee"
ayanisiki,あやにしき,綾錦,"twill damask and brocade"
ayaito,あやいと,綾糸,"colored thread, coloured thread, thread of cat's cradle, heddle thread"
ayaori,あやおり,綾織り,"twill (fabric)"
ayanuno,あやぬの,綾布,"twill damask and brocade"
arutoki,あるとき,ある時,"once (e.g. 'once, when I was studying ..'), on one occasion, at one point"
aruhito,あるひと,ある人,"someone (unspecified, but someone in particular), a certain person"
aruhi,あるひ,ある日,"one day, (on) a certain day"
awa,あわ,粟,"foxtail millet (Setaria italica), Italian millet (also Hungarian, German)"
awase,あわせ,袷,"lined kimono"
yasui,やすい,安い,"cheap, inexpensive"
yasuraka,やすらか,安らか,"peaceful, tranquil, calm, restful"
yasune,やすね,安値,"low price"
yasuuri,やすうり,安売り,"bargain sale, selling cheaply"
yasumono,やすもの,安物,"cheap article, poor quality article"
iori,いおり,庵,"hermitage, retreat"
kurai,くらい,暗い,"dark, gloomy, murky"
kurayami,くらやみ,暗闇,"darkness, the dark"
kakasi,かかし,案山子,"scarecrow"
yami,やみ,闇,"darkness, the dark"
yamikumo,やみくも,闇雲,"reckless, (at) random, haphazard, blind, sudden, abrupt"
yamine,やみね,闇値,"black-market price"
iou,いおう,以往,"after this, from now on, hereafter"
ika,いか,以下,"not exceeding, and downward, ... and below"
ikanotoori,いかのとおり,以下の通り,"as below, as follows"
ikou,いこう,以降,"on and after, as from, hereafter, thereafter, since"
isei,いせい,以西,"... and westward, west of"
itou,いとう,以東,"... and eastward, east of"
inai,いない,以内,"within, inside of, less than"
ihoku,いほく,以北,"north of, and northward"
irai,いらい,以来,"since, henceforth"
isaki,いさき,伊佐木,"chicken grunt (species of fish, Parapristipoma trilineatum), threeline grunt"
isemairi,いせまいり,伊勢参り,"Ise pilgrimage, pilgrimage to the Ise Grand Shrine"
iroha,いろは,伊呂波,"traditional ordering of the Japanese syllabary"
kurai,くらい,位,"throne, crown, (nobleman's) seat"
ikai,いかい,位階,"court rank"
iki,いき,位記,"court rank diploma"
ikituisou,いきついそう,位記追贈,"conferment of posthumous rank"
isou,いそう,位相,"phase (e.g. wave, electricity, moon)"
itiawase,いちあわせ,位置合わせ,"alignment, justification"
itisoroe,いちそろえ,位置揃え,"justification"
ihai,いはい,位牌,"Buddhist mortuary tablet"
itaku,いたく,依託,"entrustment"
irai,いらい,依頼,"request, commission, entrusting (with a matter)"
eko,えこ,依怙,"favoritism, favouritism, partiality, prejudice, bias"
ekohiiki,えこひいき,依怙贔屓,"favoritism, favouritism, partiality, prejudice, bias"
i,い,偉,"greatness"
erai,えらい,偉い,"great, excellent, admirable, remarkable, distinguished, important, celebrated, famous, eminent"
eraihito,えらいひと,偉い人,"celebrated personage, big-wig, person in a high position"
ikou,いこう,偉功,"great deed"
ikou,いこう,偉効,"great effect"
iseki,いせき,偉績,"glorious achievements"
itoku,いとく,偉徳,"great virtue, outstanding virtue"
iretu,いれつ,偉烈,"great achievement"
kakoi,かこい,囲い,"enclosure, fence, wall, pen, paling"
kakou,かこう,囲う,"to enclose, to surround, to encircle, to fence, to wall in"
kakomu,かこむ,囲む,"to surround, to encircle, to enclose, to fence, to wall in"
irori,いろり,囲炉裏,"sunken hearth, sunken fireplace"
ikoku,いこく,夷国,"land of the barbarians"
iteki,いてき,夷狄,"barbarians, aliens"
isai,いさい,委細,"details, particulars"
itaku,いたく,委託,"entrusting (something to a person), consignment (of goods), putting in someone's charge, trust, commission"
itakusei,いたくせい,委託生,"scholarship student sent by government office or business"
ihu,いふ,委付,"abandonment (rights, property)"
iatu,いあつ,威圧,"coercion, overpowering"
ikaku,いかく,威嚇,"threat, intimidation, menace"
ikatu,いかつ,威喝,"threatening"
ikou,いこう,威光,"power, authority, influence"
isei,いせい,威勢,"power, might, authority, influence"
itoku,いとく,威徳,"virtue and influence, virtue and authority"
ihuu,いふう,威風,"majesty, dignity"
ihuku,いふく,威服,"awe into submission"
imei,いめい,威名,"fame, prestige"
irei,いれい,威令,"authority"
iki,いき,意気,"spirit, heart, disposition"
